"X1" "X2"
1.42 NA
NA 0.45
0.78 NA
1.25 NA
-1.41 0.59
0.52 NA
-1.12 -1.13
-2.5 NA
NA -1.61
NA -0.04
-1.93 NA
-1.22 NA
-1.49 NA
0.16 NA
NA -1.14
0.16 -0.21
-1.29 -0.05
NA 0.19
-0.49 -1.38
-0.89 -0.27
-0.6 NA
1.06 NA
0.97 NA
-2.26 -1
0.42 1.44
NA 0.87
-0.67 1.37
-0.33 NA
-0.59 NA
NA 1.92
NA 1.8
1.39 NA
1.46 -0.25
5.48 NA
1.82 1.14
NA -0.54
0.67 1.55
NA -0.2
-0.2 0.35
0.87 0.26
-0.47 NA
0.63 NA
NA 0.42
NA -0.39
-2.96 NA
0.33 -1.26
-2.52 -0.62
-0.14 NA
-0.43 NA
NA 0.23
0.29 -2.24
-3.37 NA
-0.44 -1.21
0.21 NA
1.06 NA
-1.47 -1.35
NA 1.47
NA 0.27
NA -1.61
-3.35 -0.22
NA 0.65
NA 0.88
-1.07 1.6
NA 1.27
-0.53 NA
-0.08 -0.43
0.94 NA
-1.26 -0.45
-1.3 -0.4
NA 0.4
NA 0.08
2.37 NA
2.45 NA
NA 1.62
NA 0.45
0.6 NA
3.64 0.47
NA -0.46
NA 1.07
NA -0.01
NA 1.9
-1.2 NA
-1.95 NA
NA -1.63
NA 1.98
NA -0.62
-1.42 0.13
0.16 -1.07
0.73 -0.42
-0.36 NA
-1.19 0.58
NA 1.57
-0.38 NA
0.28 NA
0.53 NA
NA -0.77
1.47 0.85
NA 0.64
NA 0.75
NA 0.04
